name,address,rating,latitude,longitude,close,open,district,store_chain
BiboMart Nguyễn Văn Cừ,"Số 170 Đ. Nguyễn Văn Cừ, Ngọc Lâm, Long Biên, Hà Nội",4.0,21.043345,105.872001,10 PM,7 AM,Long Biên,Bibomart
BiboMart Ecohome,"13 Tòa N04 Khu nhà ở Ecohome 3 Bắc Cổ Nhuế- Chèm, P.Đông Ngạc, Q, Bắc Từ Liêm, Hà Nội",2.9,21.0846465,105.7853154,10 PM,7:30 AM,Bắc Từ Liêm,Bibomart
BiboMart Trạm Trôi,"TT. Trạm Trôi, Hoài Đức, Hanoi",2.9,21.068562,105.7101796,10 PM,8 AM,Hoài Đức,Bibomart
BiboMart Khương Đình,"198 Đ. Khương Đình, Hạ Đình, Thanh Xuân, Hà Nội",1.0,20.9932038,105.813768,10 PM,7 AM,Thanh Xuân,Bibomart
BiboMart Văn Khê,"Số 4, LK 9, Văn Khê, La Khê, Hà Đông, Hà Nội",3.5,20.9741156,105.7640435,10 PM,7 AM,Hà Đông,Bibomart
BiboMart Dương Nội,"Tầng 1 Tòa nhà H - CT7, KDT Dương Nội, Hà Đông, Hà Nội",3.5,20.9632783,105.7487575,10 PM,8 AM,Hà Đông,Bibomart
BiboMart Kim Văn,"Kiot Số 8 KDT, Kim Văn, Hoàng Mai",4.0,20.9723591,105.8203718,10 PM,7 AM,Hoàng Mai,Bibomart
BiboMart Ngô Xuân Quảng,"82 Ngô Xuân Quảng, Trâu Quỳ, Gia Lâm, Hà Nội",5.0,21.0175759,105.9367218,10 PM,8 AM,Gia Lâm,Bibomart
BiboMart Sài Đồng,"51 P. Sài Đồng, TT. Sài Đồng, Long Biên, Hà Nội",3.4,21.0345006,105.9100894,10 PM,7:30 AM,Long Biên,Bibomart
BiboMart Phùng Hưng,"38 Đ. Phùng Hưng, P. Phúc La, Hà Đông, Hà Nội",2.0,20.9706582,105.7836953,10 PM,7 AM,Hà Đông,Bibomart
Bobbymart,"Sun City, P. Hai Bà Trưng, Phan Chu Trinh, Hoàn Kiếm, Hà Nội",4.2,21.020179,105.854487,9:30 PM,8 AM,Hoàn Kiếm,Other
BiboMart,"136 Đ. Hồ Tùng Mậu, Cầu Diễn, Từ Liêm, Hà Nội",4.2,21.0398426,105.767534,11:59 PM,0:00 AM,Bắc Từ Liêm,Bibomart
Cửa Hàng Đồ Chơi Trẻ Em BiBoMart,"24, Phố Sơn Tây, Phường Kim Mã, Quận Ba Đình, Điện Biên, Ba Đình, Hà Nội",4.2,21.0330269,105.8326515,10 PM,6:30 AM,Ba Đình,Bibomart
Kho BiboMart Hà Nội,"Km9 Nam An Khánh, An Phú, Hoài Đức, Hà Nội",4.2,21.0033047,105.7234646,8 PM,8 AM,Hoài Đức,Bibomart
KidsPlaza 340 Bach Mai,"4 P. Lò Đúc, Ngô Thì Nhậm, Hai Bà Trưng, Hà Nội",4.0,21.0181709,105.8550556,9:30 PM,8 AM,Hai Bà Trưng,KidsPlaza
KidsPlaza Tô Hiệu,"301 P. Tô Hiệu, Dịch Vọng, Cầu Giấy, Hà Nội",4.2,21.0415031,105.7906962,10 PM,8 AM,Cầu Giấy,KidsPlaza
